20 14
0 0 100.000000
1 0 100.000000
2 0 100.000000
3 0 100.000000
4 0 100.000000
5 0 100.000000
6 0 100.000000
7 0 100.000000
8 0 117.157288
9 0 176.393202
10 0 150.000000
11 0 126.393202
12 0 67.157288
13 0 50.000000
14 0 50.000000
15 0 50.000000
16 0 50.000000
17 0 50.000000
18 0 50.000000
19 0 50.000000
0 1 100.000000
1 1 102.571252
2 1 103.376137
3 1 103.760211
4 1 104.225241
5 1 104.872416
6 1 107.116578
7 1 118.129562
8 1 161.603711
9 1 211.654206
10 1 217.981473
11 1 179.799990
12 1 117.195146
13 1 69.547102
14 1 57.413745
15 1 54.919124
16 1 54.197222
17 1 53.582905
18 1 52.635576
19 1 50.000000
0 2 100.000000
1 2 103.374710
2 2 104.708296
3 2 105.925399
4 2 107.896624
5 2 109.186184
6 2 109.942477
7 2 119.521318
8 2 166.756003
9 2 217.789594
10 2 239.628378
11 2 190.409591
12 2 124.440926
13 2 71.565769
14 2 60.382609
15 2 59.256519
16 2 57.855156
17 2 55.666663
18 2 53.666078
19 2 50.000000
0 3 100.000000
1 3 103.747808
2 3 105.918778
3 3 109.808354
4 3 118.000681
5 3 121.591421
6 3 112.189586
7 3 98.918265
8 3 107.214880
9 3 126.496108
10 3 129.033242
11 3 100.092644
12 3 65.459482
13 3 51.150089
14 3 62.675863
15 3 71.670241
16 3 67.955125
17 3 59.521128
18 3 54.762605
19 3 50.000000
0 4 100.000000
1 4 104.135317
2 4 107.859387
3 4 118.194232
4 4 149.199987
5 4 164.344986
6 4 124.316994
7 4 48.961301
8 4 4.831430
9 4 -12.440760
10 4 -26.878615
11 4 -38.656020
12 4 -36.800644
13 4 1.240848
14 4 74.819448
15 4 114.431020
16 4 99.157911
17 4 67.898837
18 4 56.632852
19 4 50.000000
0 5 100.000000
1 5 104.282303
2 5 108.849575
3 5 122.945975
4 5 168.191218
5 5 190.833940
6 5 110.639859
7 5 -5.539290
8 5 -86.876965
9 5 -144.563347
10 5 -177.112108
11 5 -170.730577
12 5 -128.460385
13 5 -53.220191
14 5 61.177247
15 5 140.953637
16 5 118.182839
17 5 72.683259
18 5 57.635175
19 5 50.000000
0 6 100.000000
1 6 103.756774
2 6 107.201575
3 6 116.853153
4 6 144.723762
5 6 146.915369
6 6 62.385076
7 6 -53.230806
8 6 -149.079732
9 6 -227.885212
10 6 -273.026548
11 6 -253.958153
12 6 -190.517207
13 6 -100.746783
14 6 13.092756
15 6 97.207582
16 6 94.893754
17 6 66.792772
18 6 56.271232
19 6 50.000000
0 7 100.000000
1 7 102.020075
2 7 103.299202
3 7 106.047036
4 7 109.518200
5 7 93.641362
6 7 18.099563
7 7 -79.327547
8 7 -175.930037
9 7 -264.203373
10 7 -322.257560
11 7 -289.898808
12 7 -216.767937
13 7 -126.156213
14 7 -30.479339
15 7 44.656390
16 7 60.430976
17 7 56.811330
18 7 53.466066
19 7 50.000000
0 8 100.000000
1 8 96.948651
2 8 95.909431
3 8 95.805864
4 8 93.386716
5 8 75.666772
6 8 10.818330
7 8 -75.188508
8 8 -163.109654
9 8 -241.046272
10 8 -285.804522
11 8 -265.522255
12 8 -202.007796
13 8 -119.791741
14 8 -35.450600
15 8 29.017813
16 8 46.678403
17 8 49.138002
18 8 49.359289
19 8 50.000000
0 9 100.000000
1 9 83.009148
2 9 80.064095
3 9 80.014157
4 9 78.987389
5 9 66.926310
6 9 20.594949
7 9 -51.854831
8 9 -125.878436
9 9 -187.898605
10 9 -221.572293
11 9 -209.571378
12 9 -160.307472
13 9 -91.325171
14 9 -20.346198
15 9 25.651016
16 9 37.674868
17 9 38.877380
18 9 40.113869
19 9 50.000000
0 10 25.000000
1 10 49.315546
2 10 55.771459
3 10 60.307918
4 10 67.690181
5 10 66.626733
6 10 40.541031
7 10 -18.439258
8 10 -78.134004
9 10 -125.744157
10 10 -151.105585
11 10 -143.473495
12 10 -106.207140
13 10 -50.574336
14 10 7.222581
15 10 33.016917
16 10 33.903699
17 10 25.868256
18 10 18.426631
19 10 0.000000
0 11 25.000000
1 11 35.516763
2 11 41.432797
3 11 52.425502
4 11 85.289183
5 11 104.712142
6 11 75.256886
7 11 22.982022
8 11 -22.852504
9 11 -57.188824
10 11 -76.540430
11 11 -72.584928
12 11 -46.721132
13 11 -4.104476
14 11 47.249868
15 11 76.477996
16 11 56.907739
17 11 23.538793
18 11 10.720411
19 11 0.000000
0 12 25.000000
1 12 29.875092
2 12 34.247193
3 12 47.828207
4 12 100.944140
5 12 139.769099
6 12 98.082961
7 12 39.331793
8 12 15.798417
9 12 1.025333
10 12 -13.628310
11 12 -15.368871
12 12 -7.148014
13 12 14.189581
14 12 72.347720
15 12 113.894065
16 12 74.990849
17 12 21.622744
18 12 7.120266
19 12 0.000000
0 13 25.000000
1 13 25.000000
2 13 25.000000
3 13 25.000000
4 13 83.578644
5 13 125.000000
6 13 83.578644
7 13 25.000000
8 13 25.000000
9 13 25.000000
10 13 0.000000
11 13 0.000000
12 13 0.000000
13 13 0.000000
14 13 58.578644
15 13 100.000000
16 13 58.578644
17 13 0.000000
18 13 0.000000
19 13 0.000000
